Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1300,0.533,77.4,208,86.7,,,,,,,88.1,87.9,,,,,,
1305,0.400,77.3,209,88.2,,,,,,,87.7,88.2,,,,,,
1310,0.400,77.2,209,88.4,,,,,,,88.5,88.5,,,,,,
1315,0.467,77.1,209,88.3,,,,,,,88.7,87.1,,,,,,
1320,0.467,77.6,209,88.5,,,,,,,89.0,88.8,,,,,,
1325,0.533,77.4,210,88.7,,,,,,,89.2,88.9,,,,,,
1330,0.467,77.5,209,89.1,,,,,,,89.5,89.3,,,,,,
1335,0.533,77.3,212,89.5,,,,,,,91.1,89.5,,,,,,
1340,0.467,76.9,212,91.5,,,,,,,92.1,91.2,,,,,,
1345,0.533,76.9,211,92.3,,,,,,,89.8,91.9,,,,,,
1350,0.533,77.1,208,91.3,,,,,,,89.1,90.5,,,,,,
1355,0.533,77.5,207,87.2,,,,,,,87.8,88.5,,,,,,
1360,0.533,77.6,207,87.5,,,,,,,87.8,87.4,,,,,,
1365,0.467,77.4,207,87.7,,,,,,,88.1,87.9,,,,,,
1370,0.533,77.3,206,87.6,,,,,,,88.1,86.1,,,,,,
1375,0.467,77.5,207,87.6,,,,,,,88.1,87.6,,,,,,
1380,0.467,77.3,207,87.9,,,,,,,88.0,87.8,,,,,,
1385,0.400,77.3,207,88.5,,,,,,,88.2,88.1,,,,,,
1390,0.467,76.6,208,88.9,,,,,,,88.7,88.6,,,,,,
1395,0.533,68.9,198,84.8,,,,,,,82.2,85.4,,,,,,
1400,0.533,50.3,164,75,,,,,,,64.0,72.3,,,,,,
1405,0.400,25.1,98.3,48.9,,,,,,,35.7,44.7,,,,,,
1410,0.400,7.13,38.7,23.4,,,,,,,12.7,18.3,,,,,,
1415,0.267,0.267,4.40,4.93,,,,,,,0.933,3.53,,,,,,
1420,0.333,21.4,33.1,9.20,,,,,,,19.5,12.2,,,,,,
1425,0.333,45.9,99.5,36.0,,,,,,,51.1,40,,,,,,
1430,0.467,50.6,140,59.7,,,,,,,61.7,61.3,,,,,,
1435,0.467,29.3,108,53.5,,,,,,,43.1,50.4,,,,,,
1440,0.400,4.87,41.9,26.6,,,,,,,11.5,22.6,,,,,,
1445,0.333,0.0667,1.000,2.93,,,,,,,1.000,1.13,,,,,,
1450,0.333,0.133,99.3,0.867,,,,,,,0.867,0.933,,,,,,
1455,0.333,0.133,337,0.867,,,,,,,0.800,0.800,,,,,,
1460,0.400,0.133,624,0.867,,,,,,,0.733,0.867,,,,,,
1465,0.400,0.0667,831,0.867,,,,,,,0.867,0.800,,,,,,
1470,0.467,0.133,917,1.00,,,,,,,1.00,1.000,,,,,,
1475,0.533,0.133,963,1.07,,,,,,,1.00,1.00,,,,,,
1480,0.533,0.133,981,1.07,,,,,,,1.00,1.07,,,,,,
1485,0.467,0.0667,980,1.00,,,,,,,1.00,0.933,,,,,,
1490,0.400,0.0667,970,1.000,,,,,,,1.000,0.933,,,,,,
1495,0.400,0.0667,960,1.00,,,,,,,1.00,0.933,,,,,,
1500,0.467,0.0667,955,0.933,,,,,,,1.00,1.00,,,,,,
1505,0.400,0.0667,948,0.933,,,,,,,0.933,0.933,,,,,,
1510,0.467,0.0667,943,0.933,,,,,,,0.933,0.933,,,,,,
1515,0.400,0.0667,943,0.933,,,,,,,0.933,1.000,,,,,,
1520,0.533,0.0667,940,1.00,,,,,,,1.00,1.07,,,,,,
1525,0.533,0.0667,941,0.933,,,,,,,1.000,1.000,,,,,,
1530,0.467,0.0667,933,1.000,,,,,,,0.933,0.933,,,,,,
1535,0.400,0.133,928,0.867,,,,,,,0.933,0.933,,,,,,
1540,0.400,0.133,931,1.00,,,,,,,1.00,1.00,,,,,,
1545,0.533,0.133,931,0.933,,,,,,,1.07,0.933,,,,,,
1550,0.467,0,935,1.00,,,,,,,1.07,1.07,,,,,,
1555,0.533,0.0667,936,0.933,,,,,,,1.00,1.07,,,,,,
1560,0.467,0.0667,934,1.00,,,,,,,1.00,1.13,,,,,,
1565,0.600,0.0667,935,1.000,,,,,,,1.00,1.000,,,,,,
1570,0.467,0.0667,936,0.933,,,,,,,1.07,1.00,,,,,,
1575,0.533,0.0667,939,0.933,,,,,,,1.000,1.00,,,,,,
1580,0.400,0.200,934,0.933,,,,,,,1.07,0.933,,,,,,
1585,0.467,0.200,930,0.933,,,,,,,0.933,0.933,,,,,,
1590,0.467,0.200,932,1.13,,,,,,,1.00,0.933,,,,,,
1595,0.533,0.0667,928,1.13,,,,,,,0.933,1.07,,,,,,
