"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 10:21:55,0.333,31.9,79.5,32.9,,,,,,,32.7,34.5,,,,,,
2026-04-20 10:22:00,0.333,32.5,89.1,35.5,,,,,,,35.6,35.4,,,,,,
2026-04-20 10:22:05,0.333,29.8,87.9,34.4,,,,,,,34.7,33.2,,,,,,
2026-04-20 10:22:10,0.333,24.8,76.9,29.3,,,,,,,29.9,27.6,,,,,,
2026-04-20 10:22:15,0.333,15.1,59.9,21.1,,,,,,,21.9,17.5,,,,,,
2026-04-20 10:22:20,0.333,6.60,31.3,10.6,,,,,,,11.3,8.07,,,,,,
2026-04-20 10:22:25,0.400,1.07,12.7,3.87,,,,,,,4.40,2.20,,,,,,
2026-04-20 10:22:30,0.333,0.0667,1.07,1.000,,,,,,,1.07,1.000,,,,,,
2026-04-20 10:22:35,0.333,0.133,1.20,1.07,,,,,,,0.933,1.000,,,,,,
2026-04-20 10:22:40,0.333,6.27,5.07,4.53,,,,,,,4.00,7.33,,,,,,
2026-04-20 10:22:45,0.333,15.3,27.1,13.8,,,,,,,13.0,17.3,,,,,,
2026-04-20 10:22:50,0.333,25.4,54.5,25,,,,,,,24.3,28.3,,,,,,
2026-04-20 10:22:55,0.400,29.2,78.5,32.9,,,,,,,32.5,33.5,,,,,,
2026-04-20 10:23:00,0.400,30.3,84.5,34.8,,,,,,,34.6,34.7,,,,,,
2026-04-20 10:23:05,0.333,30.1,84.7,34.4,,,,,,,34.5,34.6,,,,,,
2026-04-20 10:23:10,0.267,30.1,84.7,34.6,,,,,,,34.5,34.6,,,,,,
2026-04-20 10:23:15,0.267,30.1,84.7,34.5,,,,,,,34.4,34.4,,,,,,
2026-04-20 10:23:20,0.333,30.7,84.9,34.9,,,,,,,34.5,35.1,,,,,,
