Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
245,2.33 K,2.28 K,2.25 K,,,,,,,2.31 K,2.27 K,2.24 K,2.31 K,2.30 K,2.33 K,,
250,2.40 K,2.37 K,2.35 K,,,,,,,2.38 K,2.36 K,2.35 K,2.38 K,2.38 K,2.40 K,,
255,2.41 K,2.41 K,2.40 K,,,,,,,2.41 K,2.40 K,2.40 K,2.41 K,2.41 K,2.41 K,,
260,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
265,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
270,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
275,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
280,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
285,2.41 K,2.41 K,2.41 K,,,,,,,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,2.41 K,,
290,2.43 K,2.41 K,2.41 K,,,,,,,2.42 K,2.41 K,2.41 K,2.42 K,2.41 K,2.43 K,,
295,2.49 K,2.46 K,2.45 K,,,,,,,2.48 K,2.46 K,2.44 K,2.48 K,2.47 K,2.49 K,,
300,2.59 K,2.53 K,2.51 K,,,,,,,2.56 K,2.52 K,2.51 K,2.56 K,2.55 K,2.58 K,,
305,2.71 K,2.65 K,2.63 K,,,,,,,2.68 K,2.64 K,2.62 K,2.68 K,2.67 K,2.71 K,,
310,2.91 K,2.81 K,2.76 K,,,,,,,2.87 K,2.79 K,2.74 K,2.87 K,2.84 K,2.91 K,,
315,3.14 K,3.04 K,2.99 K,,,,,,,3.10 K,3.02 K,2.97 K,3.10 K,3.07 K,3.14 K,,
320,3.37 K,3.27 K,3.22 K,,,,,,,3.33 K,3.25 K,3.20 K,3.33 K,3.29 K,3.37 K,,
325,3.60 K,3.50 K,3.45 K,,,,,,,3.56 K,3.48 K,3.43 K,3.56 K,3.52 K,3.60 K,,
330,3.83 K,3.73 K,3.68 K,,,,,,,3.78 K,3.71 K,3.66 K,3.79 K,3.75 K,3.83 K,,
335,4.07 K,3.96 K,3.91 K,,,,,,,4.02 K,3.94 K,3.89 K,4.02 K,3.99 K,4.06 K,,
340,4.31 K,4.20 K,4.14 K,,,,,,,4.26 K,4.18 K,4.13 K,4.26 K,4.22 K,4.30 K,,
345,4.55 K,4.44 K,4.38 K,,,,,,,4.50 K,4.42 K,4.37 K,4.50 K,4.47 K,4.54 K,,
350,4.80 K,4.68 K,4.63 K,,,,,,,4.74 K,4.66 K,4.61 K,4.75 K,4.71 K,4.79 K,,
355,5.05 K,4.94 K,4.88 K,,,,,,,5.00 K,4.92 K,4.86 K,5.00 K,4.96 K,5.05 K,,
360,5.30 K,5.19 K,5.13 K,,,,,,,5.25 K,5.17 K,5.12 K,5.26 K,5.22 K,5.30 K,,
365,5.56 K,5.45 K,5.39 K,,,,,,,5.50 K,5.42 K,5.37 K,5.51 K,5.47 K,5.55 K,,
370,5.81 K,5.70 K,5.64 K,,,,,,,5.76 K,5.67 K,5.62 K,5.76 K,5.72 K,5.81 K,,
375,6.07 K,5.96 K,5.89 K,,,,,,,6.02 K,5.93 K,5.88 K,6.02 K,5.98 K,6.06 K,,
380,6.33 K,6.21 K,6.15 K,,,,,,,6.27 K,6.19 K,6.13 K,6.28 K,6.24 K,6.32 K,,
385,6.60 K,6.48 K,6.41 K,,,,,,,6.54 K,6.45 K,6.40 K,6.55 K,6.51 K,6.59 K,,
