Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
5271,1.13,1.13,
5276,0.333,0.333,
5281,0,0,
5286,0,0,
5291,0,0,
5296,0,0,
5301,3.48,3.48,
5306,11.9,11.9,14.1
5311,23.3,23.3,24.0
5316,34.1,34.1,33.9
5321,38.5,38.5,39.7
5326,42.6,42.6,43.9
5331,43.4,43.4,42.2
5336,37.3,37.3,34.0
5341,24.9,24.9,21.3
5346,15.7,15.7,14.8
5351,11.6,11.6,10.6
5356,7.40,7.40,6.68
5361,3.27,3.27,2.35
5366,0,0,0.0667
5371,0,0,0
5376,0,0,1.42
5381,25.3,25.3,36.4
5386,75.4,75.4,94.7
5391,155,155,176
5396,213,213,224
5401,246,246,249
5406,250,250,249
5411,225,225,214
5416,175,175,155
5421,95.6,95.6,74.7
5426,37.4,37.4,26.4
5431,4.13,4.13,1.27
5436,0,0,0
5441,0,0,0
5446,0,0,0
5451,0,0,0
5456,13.7,13.7,28.2
5461,85.9,85.9,110
5466,213,213,258
5471,366,366,397
5476,461,460,482
5481,500,500,500
5486,486,486,472
5491,414,414,390
5496,287,287,242
5501,134,134,104
5506,39.4,39.5,18.3
5511,0,0,0
5516,0,0,0
5521,0,0,0
5526,0,0,0
5531,0,0,0.0833
5536,18.3,18.3,41.8
5541,136,136,178
5546,288,288,330
5551,424,423,441
5556,458,458,458
5561,459,459,459
5566,459,459,460
5571,461,461,461
5576,462,462,463
5581,470,470,474
5586,485,485,489
5591,501,501,504
5596,508,508,508
5601,509,509,509
5606,509,509,509
5611,510,510,510
5616,509,509,509
5621,513,513,517
5626,527,527,531
5631,545,545,549
5636,558,558,559
5641,561,561,561
5646,561,561,561
5651,562,562,562
5656,561,561,563
5661,575,575,588
5666,635,635,650
5671,703,703,714
5676,752,752,749
5681,752,752,746
5686,744,744,739
5691,741,741,747
5696,750,750,755
5701,756,756,763
5706,763,764,762
5711,759,759,758
5716,761,761,759
5721,756,756,757
5726,757,756,753
5731,750,750,746
5736,749,749,742
5741,741,743,740
5746,742,741,741
5751,737,737,738
5756,739,739,742
5761,741,741,739
5766,743,743,743
5771,738,737,737
5776,738,739,744
5781,739,739,740
5786,745,745,747
5791,744,744,736
5796,737,737,737
5801,731,732,729
5806,730,730,735
5811,737,736,729
5816,733,732,725
5821,725,724,715
5826,710,711,712
5831,716,716,723
5836,712,713,706
5841,589,590,534
5846,344,344,285
5851,110,110,65.0
5856,0,0,0.117
5861,0,0,0
5866,0,0,0
5871,0,0,0
5876,44.4,44.3,81.8
5881,167,167,166
5886,167,167,167
5891,187,187,198
5896,267,267,330
5901,459,459,487
5906,436,436,387
5911,233,233,170
5916,40.7,40.7,13.0
5921,0,0,0
5926,0,0,0
5931,0,0,0
5936,0,0,0
5941,0.667,0,0
5946,1.53,0,0
5951,2.40,0.0667,0
5956,3.53,0.267,0
5961,6.13,0.400,0
5966,8.73,0.400,0
5971,10.5,0.267,0
5976,10.6,0.133,0
5981,10.7,0.0667,0
5986,10.9,0,0
5991,11.2,0,0
5996,11.4,0,0
6001,11.7,0,0
6006,11.9,0,0
6011,12.2,0,0
6016,12.2,0,0
6021,12.5,0,0
6026,12.9,0,0
6031,13.2,0,0
6036,13.5,0,0
6041,13.7,0,0
6046,14.1,0,0
6051,14.3,0,0
6056,14.7,0,0
6061,15.1,0,0
6066,15.5,0,0
6071,15.9,0,0
6076,16.3,0,0
6081,16.8,0,0
6086,17.3,0,0
6091,17.8,0,0
6096,18.3,0,0
6101,18.9,0,0
6106,13.7,0,0
6111,9.11,0,0
6116,0,0,0
6121,0,0,0
6126,0,0,0
6131,0,0,0
6136,0,0,0
6141,0,0,0
6146,0,0,0
6151,0,0,0
6156,0,0,0
6161,0,0,0
6166,0,0,0
6171,0,0,0
6176,0,0,0
6181,0,0,0
6186,0,0,0
6191,0,0,0
6196,0,0,0
6201,0,0,0
6206,0,0,0
6211,0,0,0
6216,0,0,0
6221,0,0,0
6226,0,0,0
6231,0,0,0
6236,0,0,0
6241,0,0,0
6246,0,0,0
6251,0,0,0
6256,0,0,0
6261,0,0,0
6266,0,0,0
6271,0,0,0
6276,0,0,0
6281,0,0,0
6296,0.160,0.160,
6301,2.05,2.05,
6306,2.43,2.43,
6311,2.07,2.07,
6316,0.533,0.533,
6321,0,0,
6326,0,0,
6331,0,0,
6336,0,0,
6341,0,0,
6346,0,0,
6351,0,0,
6356,0,0,
6361,0,0,
6366,0,0,
6371,0,0,
6376,3.78,3.78,4.78
6381,7.54,7.54,7.32
6386,11.4,11.4,10.4
6391,15.1,15.1,16.7
6396,23.6,23.6,25.0
6401,31.8,31.8,33.3
6406,37.5,37.5,37.4
6411,37.3,37.3,37.5
6416,37.5,37.5,37.5
6421,34.9,34.9,33.3
6426,26.7,26.7,25.0
6431,18.2,18.2,16.3
6436,8.80,8.80,8.39
6441,4.60,4.60,4.18
6446,0.467,0.467,0.533
6451,0,0,0
6456,0,0,0
6461,0,0,0
6466,0,0,0
6471,0,0,0
6476,0,0,0
6481,0,0,0
6486,0,0,2.67
6491,17.9,17.9,21.3
6496,38.7,38.7,42.1
6501,59.5,59.5,63.3
6506,80.4,80.4,84.2
6511,101,101,105
6516,122,122,120
6521,107,107,104
6526,100,100,99.9
6531,109,109,113
6536,130,130,133
6541,138,137,137
6546,128,128,127
6551,125,125,124
6556,111,111,108
6561,81.2,81.3,74.0
6566,39.5,39.6,33.3
6571,11.4,11.5,8.06
6576,0,0,0.0500
6581,0,0,0
6586,0,0,0
6591,0,0,0
6596,0,0,0
6601,0,0,0
6606,0,0,0
6611,0,0,0
6616,0,0,0
6621,0,0,0
6626,0,0,0
6631,0,0,0
6636,0,0,0
6641,0,0,7.71
6646,54.2,54.1,68.8
6651,137,137,153
6656,244,244,264
6661,354,351,361
6666,437,432,437
6671,495,495,470
6676,445,448,438
6681,362,367,361
6686,258,259,254
6691,146,146,132
6696,62.7,62.9,48.5
6701,2.20,2.20,2.77
6706,0,0,0
6711,0,0,0
6716,0,0,0
6721,0,0,0
6726,0,0,0
6731,0,0,0
6736,0,0,0
6741,0,0,10.8
6746,67.3,67.3,81.3
6751,146,146,161
6756,226,226,229
6761,238,238,238
6766,240,240,247
6771,270,270,276
6776,300,300,307
6781,347,347,351
6786,378,378,384
6791,410,410,414
6796,425,425,425
6801,427,427,427
6806,429,429,429
6811,430,430,431
6816,433,434,433
6821,436,436,436
6826,436,436,437
6831,442,441,443
6836,446,446,447
6841,451,451,450
6846,448,449,448
6851,450,450,450
6856,450,450,450
6861,451,451,452
6866,453,453,453
6871,482,482,457
6876,506,503,451
6881,501,498,445
6886,462,462,442
6891,406,408,435
6896,438,432,431
6901,444,444,433
6906,402,403,409
6911,422,429,394
6916,471,441,385
6921,528,527,418
6926,477,479,434
6931,409,440,431
6936,427,425,433
6941,293,293,375
6946,240,231,339
6951,307,307,322
6956,525,525,380
6961,604,614,426
6966,524,528,440
6971,442,438,439
6976,369,369,441
6981,410,410,443
6986,264,267,405
6991,253,228,349
6996,307,287,339
7001,513,493,378
7006,617,612,425
7011,514,533,429
7016,418,438,426
7021,359,389,427
7026,316,317,426
7031,211,211,377
7036,300,266,365
